City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
328,maltahohe,-24.8333,16.9833,66.88,24,0,16.2,NA,1657358241
329,mogadishu,2.0371,45.3438,78.58,72,2,22.3,SO,1657358241
330,hithadhoo,-0.6,73.0833,82.54,75,12,6.82,MV,1657358241
331,atlantis,-33.5667,18.4834,59.29,84,100,8.14,ZA,1657358241
332,nayoro,44.3506,142.4578,74.75,89,100,2.53,JP,1657358241
333,jiuquan,39.7432,98.5174,92.32,8,81,5.32,CN,1657358242
334,englehart,47.8169,-79.8664,46.42,100,0,2.3,CA,1657358242
335,arlit,18.7369,7.3853,99.95,12,12,15.23,NE,1657358242
336,lokoja,7.8024,6.743,82.58,70,75,5.1,NG,1657358242
337,port blair,11.6667,92.75,84.24,79,100,11.5,IN,1657358242
338,sulina,45.1559,29.6536,79.07,51,100,16.46,RO,1657358243
339,ayat,52.8228,62.5164,80.31,35,91,5.12,KZ,1657358243
340,varvoru,44.2333,23.6333,67.57,85,100,10.16,RO,1657358243
341,nantes,47.1667,-1.5833,76.69,53,0,5.75,FR,1657357998
342,mecca,21.4267,39.8261,100.53,13,72,9.15,SA,1657358244
343,abu zabad,12.35,29.25,82.47,61,100,15.21,SD,1657358245
344,ahipara,-35.1667,173.1667,57.4,92,1,8.14,NZ,1657358245
345,garissa,-0.4536,39.6401,85.55,35,26,23.51,KE,1657358245
346,grandview,38.8858,-94.533,75.78,88,100,9.22,US,1657358246
347,oussouye,12.485,-16.5469,77.18,75,94,8.05,SN,1657358246
348,malanje,-9.5402,16.341,76.71,24,100,6.51,AO,1657358246
349,rundu,-17.9333,19.7667,72.19,25,0,9.22,NA,1657358246
350,portland,45.5234,-122.6762,65.08,79,75,11.5,US,1657358246
351,garut,-7.2024,107.8878,73.35,74,46,5.53,ID,1657358247
352,egvekinot,66.3167,-179.1667,40.32,98,100,8.7,RU,1657358222
353,bogovarovo,58.9785,47.0246,79.38,41,70,3.71,RU,1657358247
354,shimoda,34.6667,138.95,78.1,88,100,9.69,JP,1657358247
355,nyanguge,-2.55,33.2,76.93,42,7,11.68,TZ,1657358247
356,chifeng,42.2683,118.9636,88.09,24,47,9.89,CN,1657358248
